,date,sales,dollar_vol,avg_price,med_price,total_listings,month_inventory,county
0,Jan 2011,15,"1,122,600","74,840","50,000",344,31.0,Anderson
1,Feb 2011,20,"1,652,300","82,615","66,950",371,30.1,Anderson
2,Mar 2011,25,"3,013,550","120,542","92,000",372,27.1,Anderson
3,Apr 2011,25,"2,733,350","109,334","115,000",365,24.1,Anderson
4,May 2011,27,"2,239,161","82,932","70,000",387,23.8,Anderson
5,Jun 2011,21,"1,798,605","85,648","78,000",421,23.9,Anderson
6,Jul 2011,15,"1,526,148","101,743","82,500",452,25.2,Anderson
7,Aug 2011,18,"2,389,823","132,768","73,250",437,23.3,Anderson
8,Sep 2011,24,"2,752,410","114,684","101,000",449,23.1,Anderson
9,Oct 2011,21,"1,991,877","94,851","89,900",428,21.7,Anderson
10,Nov 2011,17,"1,742,772","102,516","100,000",418,20.5,Anderson
11,Dec 2011,19,"2,569,280","135,225","91,500",395,19.2,Anderson
12,Jan 2012,10,"916,954","91,695","67,850",371,18.4,Anderson
13,Feb 2012,17,"2,060,776","121,222","121,900",355,17.8,Anderson
14,Mar 2012,28,"5,552,523","198,304","113,068",352,17.5,Anderson
15,Apr 2012,24,"2,878,500","119,938","100,750",350,17.4,Anderson
16,May 2012,20,"3,428,166","171,408","95,450",368,18.9,Anderson
17,Jun 2012,31,"3,692,400","119,110","78,000",368,18.1,Anderson
18,Jul 2012,25,"2,860,225","114,409","101,000",389,18.4,Anderson
19,Aug 2012,41,"3,861,823","94,191","87,000",378,16.4,Anderson
20,Sep 2012,43,"5,451,740","126,785","125,000",373,15.1,Anderson
21,Oct 2012,27,"3,598,513","133,278","125,000",366,14.5,Anderson
22,Nov 2012,34,"4,289,698","126,168","84,250",352,13.2,Anderson
23,Dec 2012,22,"2,622,600","119,209","78,450",335,12.5,Anderson
24,Jan 2013,11,"878,900","79,900","83,500",336,12.5,Anderson
25,Feb 2013,18,"1,998,580","111,032","81,500",336,12.4,Anderson
26,Mar 2013,32,"3,088,170","96,505","88,500",340,12.4,Anderson
27,Apr 2013,33,"3,737,145","113,247","115,000",352,12.5,Anderson
28,May 2013,29,"3,521,510","121,431","91,450",330,11.4,Anderson
29,Jun 2013,30,"4,174,756","139,159","109,000",356,12.4,Anderson
30,Jul 2013,22,"3,943,235","179,238","110,775",368,12.9,Anderson
31,Aug 2013,27,"2,325,583","86,133","77,900",343,12.5,Anderson
32,Sep 2013,25,"3,352,805","134,112","97,900",337,13.0,Anderson
33,Oct 2013,26,"2,552,399","98,169","94,250",346,13.4,Anderson
34,Nov 2013,21,"2,291,950","109,140","83,000",338,13.7,Anderson
35,Dec 2013,16,"1,376,700","86,044","84,750",321,13.3,Anderson
36,Jan 2014,22,"2,386,409","108,473","82,500",7,0.3,Anderson
37,Feb 2014,33,"4,296,726","130,204","90,000",311,11.8,Anderson
38,Mar 2014,35,"4,572,469","130,642","101,000",320,12.0,Anderson
39,Apr 2014,28,"2,764,400","98,729","82,250",326,12.5,Anderson
40,May 2014,32,"4,843,504","151,360","134,250",339,12.8,Anderson
41,Jun 2014,29,"3,543,545","122,191","88,500",331,12.6,Anderson
42,Jul 2014,29,"3,125,923","107,790","89,500",326,12.1,Anderson
43,Aug 2014,23,"2,162,900","94,039","89,500",315,11.8,Anderson
44,Sep 2014,31,"3,864,915","124,675","110,000",299,11.0,Anderson
45,Oct 2014,29,"3,966,800","136,786","98,000",285,10.4,Anderson
46,Nov 2014,15,"1,729,900","115,327","99,000",274,10.2,Anderson
47,Dec 2014,28,"4,737,530","169,198","144,000",258,9.3,Anderson
48,Jan 2015,17,"2,239,625","131,743","90,000",198,7.2,Anderson
49,Feb 2015,21,"3,131,868","149,137","91,000",194,7.3,Anderson
50,Mar 2015,19,"2,760,350","145,282","99,500",202,8.1,Anderson
51,Apr 2015,34,"4,274,710","125,727","86,605",198,7.7,Anderson
52,May 2015,25,"2,860,850","114,434","115,900",213,8.5,Anderson
53,Jun 2015,37,"5,295,600","143,124","154,000",243,9.5,Anderson
54,Jul 2015,38,"4,550,055","119,738","115,750",250,9.5,Anderson
55,Aug 2015,39,"5,089,058","130,489","119,000",247,8.9,Anderson
56,Sep 2015,34,"5,216,050","153,413","107,250",253,9.0,Anderson
57,Oct 2015,25,"2,964,750","118,590","102,000",247,8.9,Anderson
58,Nov 2015,23,"2,587,375","112,495","110,000",225,7.9,Anderson
59,Dec 2015,31,"4,066,907","131,191","114,000",207,7.2,Anderson
60,Jan 2016,21,"2,627,895","125,138","100,000",190,6.6,Anderson
61,Feb 2016,15,"1,712,800","114,187","105,000",203,7.1,Anderson
62,Mar 2016,34,"4,421,890","130,056","106,250",195,6.6,Anderson
63,Apr 2016,31,"4,605,678","148,570","132,000",204,6.9,Anderson
64,May 2016,37,"4,349,400","117,551","98,000",193,6.3,Anderson
65,Jun 2016,50,"6,186,333","123,727","102,600",193,6.1,Anderson
66,Jul 2016,31,"3,769,783","121,606","130,000",188,6.1,Anderson
67,Aug 2016,45,"7,346,143","163,248","149,500",197,6.3,Anderson
68,Sep 2016,43,"5,584,524","129,873","114,000",169,5.3,Anderson
69,Oct 2016,35,"3,811,800","108,909","96,000",157,4.8,Anderson
70,Nov 2016,33,"4,832,304","146,433","155,000",162,4.8,Anderson
71,Dec 2016,28,"3,174,229","113,365","112,500",171,5.1,Anderson
72,Jan 2017,15,"1,908,137","127,209","100,000",180,5.4,Anderson
73,Feb 2017,22,"3,074,900","139,768","115,000",169,5.0,Anderson
74,Mar 2017,34,"4,059,151","119,387","82,500",165,4.9,Anderson
75,Apr 2017,35,"4,080,000","116,571","82,000",170,5.0,Anderson
76,May 2017,33,"4,339,500","131,500","105,000",181,5.4,Anderson
77,Jun 2017,38,"5,738,200","151,005","112,500",186,5.7,Anderson
78,Jul 2017,32,"4,117,300","128,666","125,000",184,5.6,Anderson
79,Aug 2017,32,"4,175,650","130,489","112,000",199,6.3,Anderson
80,Sep 2017,36,"5,123,850","142,329","135,075",201,6.5,Anderson
81,Oct 2017,32,"4,872,216","152,257","140,400",173,5.6,Anderson
82,Nov 2017,36,"6,290,355","174,732","157,500",173,5.6,Anderson
83,Dec 2017,35,"6,192,031","176,915","93,900",148,4.7,Anderson
84,Jan 2018,32,"4,318,801","134,963","102,000",144,4.4,Anderson
85,Feb 2018,22,"2,861,800","130,082","157,500",142,4.3,Anderson
86,Mar 2018,22,"2,766,200","125,736","88,750",147,4.6,Anderson
87,Apr 2018,34,"3,515,400","103,394","95,000",149,4.7,Anderson
88,May 2018,43,"5,916,838","137,601","112,000",171,5.2,Anderson
89,Jun 2018,30,"4,190,300","139,677","127,500",178,5.5,Anderson
90,Jul 2018,57,"8,638,613","151,555","125,000",175,5.1,Anderson
91,Aug 2018,51,"7,655,040","150,099","135,500",168,4.7,Anderson
92,Sep 2018,23,"4,966,308","215,926","133,000",162,4.7,Anderson
93,Oct 2018,21,"2,649,398","126,162","105,000",151,4.5,Anderson
94,Nov 2018,47,"7,679,075","163,385","145,265",157,4.5,Anderson
95,Dec 2018,21,"2,395,700","114,081","105,000",153,4.6,Anderson
96,Jan 2019,23,"6,239,675","271,290","135,000",145,4.4,Anderson
97,Feb 2019,24,"3,746,450","156,102","147,450",145,4.4,Anderson
98,Mar 2019,36,"5,811,094","161,419","142,000",156,4.6,Anderson
99,Apr 2019,33,"4,693,500","142,227","147,500",172,5.0,Anderson
100,May 2019,42,"6,533,119","155,550","122,500",176,5.2,Anderson
101,Jun 2019,27,"3,173,406","117,534","100,000",173,5.1,Anderson
102,Jul 2019,50,"7,819,100","156,382","124,250",170,5.1,Anderson
103,Aug 2019,61,"8,100,437","132,794","124,500",159,4.7,Anderson
104,Sep 2019,31,"4,207,650","135,731","139,000",163,4.7,Anderson
105,Oct 2019,39,"5,158,456","132,268","113,750",151,4.2,Anderson
106,Nov 2019,48,"8,949,091","186,439","147,000",152,4.2,Anderson
107,Dec 2019,20,"2,961,300","148,065","139,900",133,3.7,Anderson
108,Jan 2020,27,"4,257,045","157,668","166,500",135,3.7,Anderson
109,Feb 2020,24,"3,119,850","129,994","101,875",120,3.3,Anderson
110,Mar 2020,34,"6,057,953","178,175","173,250",109,3.0,Anderson
111,Apr 2020,30,"5,120,630","170,688","132,250",103,2.9,Anderson
112,May 2020,37,"5,993,975","161,999","125,000",85,2.4,Anderson
113,Jun 2020,35,"5,141,150","146,890","106,000",85,2.3,Anderson
114,Jul 2020,43,"6,338,883","147,416","145,000",79,2.2,Anderson
115,Aug 2020,34,"6,801,100","200,032","157,500",77,2.3,Anderson
116,Sep 2020,40,"6,854,854","171,371","164,500",84,2.5,Anderson
117,Oct 2020,36,"6,677,323","185,481","139,500",97,2.9,Anderson
118,Nov 2020,39,"7,261,602","186,195","155,000",95,2.9,Anderson
119,Dec 2020,39,"7,553,160","193,671","140,000",78,2.2,Anderson
120,Jan 2021,31,"4,940,100","159,358","170,000",68,1.9,Anderson
121,Feb 2021,30,"5,230,750","174,358","153,750",54,1.5,Anderson
122,Mar 2021,39,"5,823,599","149,323","120,000",42,1.2,Anderson
123,Apr 2021,38,"6,891,280","181,349","166,000",56,1.5,Anderson
124,May 2021,34,"7,027,526","206,692","170,000",67,1.8,Anderson
125,Jun 2021,43,"6,667,897","155,067","137,500",56,1.5,Anderson
126,Jul 2021,36,"7,515,242","208,757","170,000",80,2.2,Anderson
127,Aug 2021,48,"10,438,222","217,463","172,500",89,2.4,Anderson
0,Jan 2011,26,"2,743,350","105,513","81,000",336,8.3,Angelina
1,Feb 2011,27,"3,304,500","122,389","125,000",332,8.1,Angelina
2,Mar 2011,39,"5,389,800","138,200","130,000",332,8.4,Angelina
3,Apr 2011,38,"4,971,840","130,838","92,500",357,9.2,Angelina
4,May 2011,51,"5,788,425","113,499","95,000",360,9.3,Angelina
5,Jun 2011,56,"6,888,655","123,012","100,000",368,9.5,Angelina
6,Jul 2011,43,"6,259,397","145,567","120,000",353,9.0,Angelina
7,Aug 2011,59,"7,938,597","134,552","117,000",339,8.3,Angelina
8,Sep 2011,62,"7,689,250","124,020","110,000",349,8.1,Angelina
9,Oct 2011,39,"4,703,044","120,591","85,000",339,7.8,Angelina
10,Nov 2011,38,"4,719,082","124,186","113,750",339,7.9,Angelina
11,Dec 2011,30,"3,875,100","129,170","114,750",314,7.4,Angelina
12,Jan 2012,26,"3,584,800","137,877","118,500",326,7.7,Angelina
13,Feb 2012,34,"4,497,742","132,287","104,000",355,8.3,Angelina
14,Mar 2012,51,"7,495,755","146,976","115,000",354,8.1,Angelina
15,Apr 2012,41,"5,572,976","135,926","117,000",358,8.1,Angelina
16,May 2012,51,"7,187,050","140,923","125,000",358,8.1,Angelina
17,Jun 2012,53,"7,750,705","146,240","132,000",375,8.5,Angelina
18,Jul 2012,46,"5,904,600","128,361","125,500",389,8.8,Angelina
19,Aug 2012,52,"7,849,929","150,960","144,250",382,8.8,Angelina
20,Sep 2012,56,"7,580,850","135,372","131,225",389,9.0,Angelina
21,Oct 2012,35,"4,282,949","122,370","107,000",356,8.3,Angelina
22,Nov 2012,32,"4,271,779","133,493","135,000",354,8.4,Angelina
23,Dec 2012,38,"5,247,090","138,081","120,000",347,8.1,Angelina
24,Jan 2013,33,"4,424,325","134,070","105,000",341,7.8,Angelina
25,Feb 2013,31,"4,203,900","135,610","105,000",357,8.3,Angelina
26,Mar 2013,43,"6,860,400","159,544","154,500",356,8.4,Angelina
27,Apr 2013,64,"10,199,801","159,372","144,725",344,7.7,Angelina
28,May 2013,56,"8,142,423","145,400","105,000",356,7.9,Angelina
29,Jun 2013,50,"6,216,285","124,326","120,450",379,8.5,Angelina
30,Jul 2013,52,"9,141,934","175,806","160,000",375,8.3,Angelina
31,Aug 2013,52,"7,435,749","142,995","107,100",392,8.7,Angelina
32,Sep 2013,43,"5,495,900","127,812","110,000",378,8.6,Angelina
33,Oct 2013,43,"6,840,000","159,070","145,000",389,8.7,Angelina
34,Nov 2013,45,"5,948,475","132,188","110,000",382,8.3,Angelina
35,Dec 2013,47,"7,519,019","159,979","120,000",352,7.6,Angelina
36,Jan 2014,35,"4,268,302","121,951","116,000",362,7.7,Angelina
37,Feb 2014,32,"3,621,400","113,169","86,750",382,8.2,Angelina
38,Mar 2014,44,"6,765,650","153,765","137,750",396,8.4,Angelina
39,Apr 2014,53,"7,529,376","142,064","128,000",416,9.0,Angelina
40,May 2014,55,"7,581,900","137,853","123,250",434,9.5,Angelina
41,Jun 2014,61,"10,256,368","168,137","150,500",433,9.2,Angelina
